BveTs Vehicle Performance Table 1.00,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,
#,変1,変1,変1,変1,変1,変2,変2,変2,変2,変2,直1,直1,直1,直1,直1,直2,直2,直2,直2,直2,B1,B2,CB1,CB2
#,0.872638798,2.411781246,4.383807506,5.847367065,6.87117164,0.631232573,1.744587663,3.171073872,4.229755275,4.970335223,0.190276062,0.525881084,0.955875019,1.274999438,1.498236707,0.137999207,0.381399384,0.693255861,0.92470335,1.086607932,-0.476393436,-0.331472433,0,0
#,0.143312416,0.396083922,0.719947414,0.960306033,1.128444222,0.171933442,0.475186128,0.863728631,1.152089443,1.353806631,0.157648613,0.435706009,0.791967048,1.05636984,1.241327662,0.128379282,0.354812032,0.644928993,0.860242277,1.01086049,-0.764973939,-0.533082641,0,0
#,0.127,0.351,0.638,0.851,1,0.127,0.351,0.638,0.851,1,0.127,0.351,0.638,0.851,1,0.127,0.351,0.638,0.851,1,0,0,0,0
#,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,10738.30521,29678.30811,53945.18681,71955.10028,84553.58435,7767.6675,21468.12041,39021.82571,52049.48852,61162.73622,0.019166703,0.052972542,0.096286274,0.128432005,0.150918924,0.013864439,0.038318253,0.069649702,0.092902659,0.109168812,0,0,-0.120780613,-0.087367944
1,10058.86872,27800.49543,50531.95466,67402.34077,79203.69068,7530.383833,20812.32067,37829.80225,50459.50112,59294.36089,74.43860781,205.7319003,373.9514314,498.7972854,586.1307702,27.19054487,75.14867126,136.5950207,182.1980605,214.0987785,-164.193585,-59.40040622,-273.1160536,-99.2332752
2,9504.567469,26268.52899,47747.35469,63688.08595,74839.11393,7072.087665,19545.6911,35527.49551,47388.55593,55685.72964,146.1135769,403.8257125,734.0193863,979.0760153,1150.500606,80.00533422,221.1171048,401.9165609,536.0987356,629.9632616,-328.0934086,-178.0831478,-541.5929141,-295.0724205
3,9008.573523,24897.71107,45255.66856,60364.53597,70933.64978,6875.230157,19001.62036,34538.5578,46069.45562,54135.67053,215.3053655,595.0565614,1081.612781,1442.715481,1695.317839,105.6928128,292.1116322,530.9607446,708.2250684,832.2268724,-491.5972094,-237.3298632,-805.559215,-391.7670055
4,8550.935463,23632.90037,42956.66792,57298.00062,67330.2005,6516.447651,18010.02461,32736.17009,43665.33032,51310.61142,282.252551,780.083822,1417.930138,1891.314338,2222.461031,155.7434304,430.4405044,782.3961306,1043.603616,1226.326223,-654.635545,-355.6020798,-1065.023618,-582.709842
5,8136.679223,22487.98746,40875.60114,54522.15763,64068.34034,6351.566502,17554.32947,31907.86951,42560.4968,50012.33466,347.1721089,959.5071671,1744.06146,2326.326493,2733.638653,180.1497012,497.894056,905.0040106,1207.144848,1418.501584,-817.140473,-414.6150229,-1319.995593,-676.9596598
